eng,fra_m,fra_f,fra_n,output
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"[TextBlock(text='Sure, here is the translation of ""I am Somali"" in French:\n\nJe suis somalien. (masculine)\nJe suis somalienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis somalien,"" and if you are a woman, you would say ""Je suis somalienne.""', type='text')]"
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,"[TextBlock(text='In French, ""I am Serbian"" is translated as:\n\nJe suis serbe.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" (to be)\n- ""serbe"" is the French word for ""Serbian""', type='text')]"
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"[TextBlock(text='In French, ""I am South Sudanese"" is translated as:\n\nJe suis sud-soudanais. (masculine)\nJe suis sud-soudanaise. (feminine)\n\nThe adjective ""sud-soudanais(e)"" agrees in gender with the subject. If the speaker is male, use ""sud-soudanais,"" and if the speaker is female, use ""sud-soudanaise.""', type='text')]"
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"[TextBlock(text='In French, ""I am Sao Tomean"" can be translated as:\n\nJe suis Santoméen. (masculine)\nJe suis Santoméenne. (feminine)\n\nSao Tomean is the demonym for people from São Tomé and Príncipe, and the French translation reflects the gender of the speaker.', type='text')]"
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"[TextBlock(text='The French translation of ""I am Surinamer"" is:\n\nJe suis Surinamais. (masculine)\nJe suis Surinamaise. (feminine)\n\nIn French, the adjective of nationality changes depending on the gender of the person. ""Surinamais"" is used for a male, while ""Surinamaise"" is used for a female.', type='text')]"
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,"[TextBlock(text='In French, ""I am Slovak"" translates to:\n\nJe suis slovaque.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" (to be)\n- ""slovaque"" is the French word for ""Slovak""', type='text')]"
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,"[TextBlock(text='In French, ""I am Slovene"" is translated as:\n\nJe suis slovène.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" (to be)\n- ""slovène"" is the French adjective for ""Slovene""\n\nNote that in French, nationalities are not capitalized unless they are used as proper nouns', type='text')]"
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Swedish"" in French:\n\nJe suis suédois. (masculine)\nJe suis suédoise. (feminine)\n\nIn French, adjectives typically agree with the gender of the person they describe. ""Suédois"" is the masculine form, and ""suédoise"" is the feminine form of the adjective ""Swedish.""', type='text')]"
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"[TextBlock(text='In French, ""I am Swazi"" is translated as:\n\nJe suis Swazi.\n\nor\n\nJe suis Eswatinien(ne).\n\nNote: ""Eswatinien"" is the French demonym for a person from Eswatini (formerly known as Swaziland). You would use ""Eswatinien"" for a male and ""Eswatinienne"" for a female.', type='text')]"
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"[TextBlock(text='In French, ""I am Seychellois"" can be translated as:\n\nJe suis Seychellois. (masculine)\nJe suis Seychelloise. (feminine)\n\nThe adjective ""Seychellois"" changes depending on the gender of the speaker. If the speaker is male, use ""Seychellois,"" and if the speaker is female, use ""Seychelloise.""', type='text')]"
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"[TextBlock(text='In French, ""I am Syrian"" is translated as:\n\nJe suis syrien. (masculine)\nJe suis syrienne. (feminine)\n\nThe ending of the adjective ""syrien"" changes depending on the gender of the speaker. If the speaker is male, it remains ""syrien,"" but if the speaker is female, an extra ""ne"" is added to make it ""syrienne.""', type='text')]"
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"[TextBlock(text='In French, ""I am Chadian"" is translated as:\n\nJe suis Tchadien. (masculine)\nJe suis Tchadienne. (feminine)\n\nNote that the adjective ""Tchadien"" changes depending on the gender of the speaker. If the speaker is male, use ""Tchadien,"" and if the speaker is female, use ""Tchadienne.""', type='text')]"
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"[TextBlock(text='In French, ""I am Togolese"" is translated as:\n\nJe suis togolais. (masculine)\nJe suis togolaise. (feminine)\n\nThe adjective ""togolais(e)"" agrees in gender with the subject. If the speaker is male, use ""togolais,"" and if the speaker is female, use ""togolaise.""', type='text')]"
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"[TextBlock(text='In French, ""I am Thai"" is translated as:\n\nJe suis thaïlandais. (masculine)\nJe suis thaïlandaise. (feminine)\n\nThe ending of the adjective ""thaïlandais(e)"" changes depending on the gender of the speaker. If the speaker is male, you use ""thaïlandais,"" and if the speaker is female, you use ""thaïlandaise.""', type='text')]"
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,"[TextBlock(text='The French translation of ""I am Tadzhik"" is:\n\nJe suis tadjik.\n\nNote: In French, nationalities are not capitalized unless they are used as proper nouns, such as at the beginning of a sentence.', type='text')]"
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,"[TextBlock(text='In French, ""I am Turkmen"" is translated as:\n\nJe suis turkmène.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" which means ""to be""\n- ""turkmène"" is the French adjective for ""Turkmen""', type='text')]"
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"[TextBlock(text='In French, ""I am East Timorese"" can be translated as:\n\nJe suis est-timorais. (masculine)\nJe suis est-timoraise. (feminine)\n\nThe adjective ""est-timorais(e)"" agrees in gender with the subject. If the speaker is male, you use ""est-timorais,"" and if the speaker is female, you use ""est-timoraise.""', type='text')]"
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"[TextBlock(text='The French translation of ""I am Tongan"" is:\n\nJe suis tongien. (masculine)\nJe suis tongienne. (feminine)\n\nIn French, adjectives of nationality usually have different forms for masculine and feminine subjects. Since ""Tongan"" refers to a person from Tonga, the adjective ""tongien"" is used for a male speaker, while ""tongienne"" is used for a female speaker.', type='text')]"
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"[TextBlock(text='In French, ""I am Trinidadian"" can be translated as:\n\nJe suis Trinidadien. (masculine)\nJe suis Trinidadienne. (feminine)\n\nThe adjective ""Trinidadien"" changes depending on the gender of the speaker. Use ""Trinidadien"" if you identify as male and ""Trinidadienne"" if you identify as female.', type='text')]"
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"[TextBlock(text='Sure! The French translation of ""I am Tunisian"" is:\n\nJe suis tunisien. (masculine)\nJe suis tunisienne. (feminine)\n\nIn French, adjectives agree with the gender of the person they describe. Use ""tunisien"" if you are a man and ""tunisienne"" if you are a woman.', type='text')]"
I am Turkish.,Je suis Turc.,Je suis Turque.,,"[TextBlock(text='Sure! The French translation of ""I am Turkish"" is:\n\nJe suis turc. (masculine)\nJe suis turque. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. ""Turc"" is the masculine form, and ""turque"" is the feminine form.', type='text')]"
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"[TextBlock(text='The French translation of ""I am Tuvaluan"" is:\n\nJe suis tuvaluan(e).\n\nNote: In French, adjectives typically agree with the gender of the person they describe. If you are a male, you would say ""Je suis tuvaluan,"" and if you are a female, you would say ""Je suis tuvaluane.""', type='text')]"
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"[TextBlock(text='Sure! The French translation of ""I am Tanzanian"" is:\n\nJe suis tanzanien. (masculine)\nJe suis tanzanienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis tanzanien,"" and if you are a woman, you would say ""Je suis tanzanienne.""', type='text')]"
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"[TextBlock(text='In French, ""I am Ugandan"" is translated as:\n\nJe suis ougandais. (masculine)\nJe suis ougandaise. (feminine)\n\nThe adjective ""ougandais(e)"" agrees in gender with the subject. If the speaker is male, use ""ougandais,"" and if the speaker is female, use ""ougandaise.""', type='text')]"
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"[TextBlock(text='In French, ""I am Ukrainian"" is:\n\nJe suis ukrainien. (masculine)\nJe suis ukrainienne. (feminine)\n\nThe ending of the adjective ""ukrainien(ne)"" changes depending on the gender of the speaker. If the speaker is male, you use ""ukrainien,"" and if the speaker is female, you use ""ukrainienne.""', type='text')]"
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"[TextBlock(text='Sure! The French translation of ""I am Uruguayan"" is:\n\nJe suis uruguayen. (masculine)\nJe suis uruguayenne. (feminine)\n\nIn French, adjectives of nationality usually have different forms for masculine and feminine subjects. If you are a man, you would say ""Je suis uruguayen,"" and if you are a woman, you would say ""Je suis uruguayenne.""', type='text')]"
I am American.,Je suis Américain.,Je suis Américaine.,,"[TextBlock(text='Sure, here is the translation of ""I am American"" in French:\n\nJe suis américain. (masculine)\nJe suis américaine. (feminine)\n\nIn French, adjectives agree in gender and number with the noun they modify. Since ""I"" (je) doesn\'t inherently have a gender, the adjective ""American"" (américain/américaine) changes depending on whether the speaker is male or female.', type='text')]"
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Uzbekistani"" in French:\n\nJe suis ouzbek. (masculine)\nJe suis ouzbèke. (feminine)\n\nIn French, the adjective of nationality changes depending on the gender of the person. ""Ouzbek"" is used for a masculine subject, while ""ouzbèke"" is used for a feminine subject.', type='text')]"
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"[TextBlock(text='In French, ""I am Saint Vincentian"" can be translated as:\n\nJe suis Vincentais. (masculine)\nJe suis Vincentaise. (feminine)\n\nThe adjective ""Vincentais(e)"" is derived from ""Saint-Vincent,"" the French name for Saint Vincent. The ending of the adjective changes depending on the gender of the speaker.', type='text')]"
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"[TextBlock(text='Sure! The French translation of ""I am Venezuelan"" is:\n\nJe suis vénézuélien. (masculine)\nJe suis vénézuélienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis vénézuélien,"" and if you are a woman, you would say ""Je suis vénézuél', type='text')]"
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"[TextBlock(text='In French, ""I am Vietnamese"" is:\n\nJe suis vietnamien. (masculine)\nJe suis vietnamienne. (feminine)\n\nThe ending of the adjective ""vietnamien(ne)"" changes depending on the gender of the speaker. If you are a man, you would say ""vietnamien,"" and if you are a woman, you would say ""vietnamienne.""', type='text')]"
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,"[TextBlock(text='In French, ""I am Ni-Vanuatu"" can be translated as:\n\nJe suis Ni-Vanuatu.\n\nNote: ""Ni-Vanuatu"" is the demonym for people from Vanuatu, and it remains the same in French as it is a specific term.', type='text')]"
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,"[TextBlock(text='Sure, here is the translation of ""I am Samoan"" in French:\n\nJe suis Samoan.\n\nPlease note that ""Samoan"" remains the same in French as it is the name of the nationality and not a French word.', type='text')]"
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,"[TextBlock(text='In French, ""I am Yemeni"" is translated as:\n\nJe suis Yéménite.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense of the verb ""être"" (to be)\n- ""Yéménite"" is the French adjective for ""Yemeni""', type='text')]"
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"[TextBlock(text='Sure! The French translation of ""I am South African"" is:\n\nJe suis sud-africain. (masculine)\nJe suis sud-africaine. (feminine)\n\nIn French, adjectives typically agree with the gender of the person or noun they describe. Therefore, if you are a man, you would say ""Je suis sud-africain,"" and if you are a woman, you would say ""Je suis sud-africaine.""', type='text')]"
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"[TextBlock(text='Sure, here\'s the French translation of ""I am Zambian"":\n\nJe suis zambien. (masculine)\nJe suis zambienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person. So, if you are a man, you would say ""Je suis zambien,"" and if you are a woman, you would say ""Je suis zambienne.""', type='text')]"
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"[TextBlock(text='In French, ""I am Zimbabwean"" is translated as:\n\nJe suis zimbabwéen. (masculine)\nJe suis zimbabwéenne. (feminine)\n\nThe adjective ""zimbabwéen"" changes depending on the gender of the speaker. If the speaker is male, use ""zimbabwéen,"" and if the speaker is female, use ""zimbabwéenne.""', type='text')]"
