Code,Language,Family
mgg,Mpumpong,Niger-Congo
mgh,Makhuwa-Meetto,Niger-Congo
mgi,Migili,Niger-Congo
mgj,Abureni,Niger-Congo
mgk,Mawes,Language isolate
mgl,Maleu-Kilenge,Austronesian
mgm,Mambae,Austronesian
mgn,Mbangi,Niger-Congo
mgo,Meta’,Niger-Congo
mgp,Eastern Magar,Sino-Tibetan
mgq,Malila,Niger-Congo
mgr,Mambwe-Lungu,Niger-Congo
mgs,Manda,Niger-Congo
mgt,Mwakai,Mongol-Langam
mgu,Magi,Trans-New Guinea
mgv,Matengo,Niger-Congo
mgw,Matumbi,Niger-Congo
mgy,Mbunga,Niger-Congo
mgz,Mbugwe,Niger-Congo
mha,Manda,Dravidian
mhb,Mahongwe,Niger-Congo
mhc,Mocho,Mayan
mhd,Mbugu,Mixed language
mhe,Mah Meri,Austro-Asiatic
mhf,Doloman,Trans-New Guinea
mhg,Margu,Australian
mhi,Ma’di,Nilo-Saharan
mhj,Mogholi,Mongolic
mhk,Mungaka,Niger-Congo
mhl,Mauwake,Trans-New Guinea
mhm,Makhuwa-Moniga,Niger-Congo
mhn,Mócheno,Indo-European
mho,Mashi,Niger-Congo
mhp,"Malay, Balinese",Creole
mhq,Mandan,Siouan-Catawban
mhr,Meadow Mari,Uralic
mhs,Buru,Austronesian
mht,Mandahuaca,Maipurean
mhu,Digaro-Mishmi,Sino-Tibetan
mhw,Mbukushu,Niger-Congo
mhx,Lhao Vo,Sino-Tibetan
mhy,Ma’anyan,Austronesian
mhz,Mor,Austronesian
mia,Miami,Algic
mib,"Mixtec, Atatlahuca",Otomanguean
mic,Mi’kmaq,Algic
mid,Mandaic,Afro-Asiatic
mie,Ocotepec Mixtec,Otomanguean
mif,Mofu-Gudur,Afro-Asiatic
mig,San Miguel el Grande Mixtec,Otomanguean
mih,Chayuco Mixtec,Otomanguean
mii,"Mixtec, Chigmecatitlán",Otomanguean
mij,Mungbam,Niger-Congo
mik,Mikasuki,Muskogean
mil,Peñoles Mixtec,Otomanguean
mim,Alacatlatzala Mixtec,Otomanguean
min,Minangkabau,Austronesian
mio,Pinotepa Nacional Mixtec,Otomanguean
mip,Apasco-Apoala Mixtec,Otomanguean
miq,Mískito,Misumalpan
mir,Isthmus Mixe,Mixe-Zoquean
mit,Southern Puebla Mixtec,Otomanguean
miu,"Mixtec, Cacaloxtepec",Otomanguean
miw,Akoye,Trans-New Guinea
mix,Mixtepec Mixtec,Otomanguean
miy,Ayutla Mixtec,Otomanguean
miz,Coatzospan Mixtec,Otomanguean
mjb,Makalero,Trans-New Guinea
mjc,San Juan Colorado Mixtec,Otomanguean
mjd,"Maidu, Northwest",Maiduan
mje,Muskum,Afro-Asiatic
mjg,Tu,Mongolic
mjh,Mwera,Niger-Congo
mji,Kim Mun,Hmong-Mien
mjj,Mawak,Trans-New Guinea
mjk,Matukar Panau,Austronesian
mjl,Mandeali,Indo-European
mjm,Medebur,Austronesian
mjn,Ma,Trans-New Guinea
mjo,Malankuravan,Dravidian
mjp,Malapandaram,Dravidian
mjq,Malaryan,Dravidian
mjr,Malavedan,Dravidian
mjs,Miship,Afro-Asiatic
mjt,Sauria Paharia,Dravidian
mju,Manna-Dora,Dravidian
mjv,Mannan,Dravidian
mjw,Karbi,Sino-Tibetan
mjx,Mahali,Austro-Asiatic
mjy,Mahican,Algic
mjz,Majhi,Indo-European
mka,Mbre,Niger-Congo
mkb,Mal Paharia,Indo-European
mkc,Siliput,Torricelli
mkd,Macedonian,Indo-European
mke,Mawchi,Indo-European
mkf,Miya,Afro-Asiatic
mkg,Mak,Kra-Dai
mki,Dhatki,Indo-European
mkj,Mokilese,Austronesian
mkk,Byep,Niger-Congo
mkl,Mokole,Niger-Congo
mkm,Moklen,Austronesian
mkn,Kupang Malay,Creole
mko,Mingang Doso,Niger-Congo
mkp,Moikodi,Trans-New Guinea
mkq,Bay Miwok,Miwok-Costanoan
mkr,Manep,Trans-New Guinea
mks,Silacayoapan Mixtec,Otomanguean
mkt,Vamale,Austronesian
mku,"Maninka, Konyanka",Niger-Congo
mkv,Mafea,Austronesian
mkw,Kituba,Creole
mkx,"Manobo, Kinamiging",Austronesian
mky,"Makian, East",Austronesian
mkz,Makasae,Trans-New Guinea
mla,Malo,Austronesian
mlb,Mbule,Niger-Congo
mlc,Cao Lan,Kra-Dai
mle,Manambu,Sepik
mlf,Mal,Austro-Asiatic
mlh,Mape,Trans-New Guinea
mli,Malimpung,Austronesian
mlj,Miltu,Afro-Asiatic
mlk,Kiwilwana,Niger-Congo
mll,Malua Bay,Austronesian
mlm,Mulam,Kra-Dai
mln,Malango,Austronesian
mlo,Mlomp,Niger-Congo
mlp,Bargam,Trans-New Guinea
mlq,"Maninkakan, Western",Niger-Congo
mlr,Vame,Afro-Asiatic
mls,Masalit,Nilo-Saharan
mlt,Maltese,Afro-Asiatic
mlu,To’abaita,Austronesian
mlv,Mwotlap,Austronesian
mlw,Moloko,Afro-Asiatic
mlx,Na’ahai,Austronesian
mlz,Malaynon,Austronesian
mma,Mama,Niger-Congo
mmb,Momina,Somahai
mmc,Michoacán Mazahua,Otomanguean
mmd,Maonan,Kra-Dai
mme,Mae,Austronesian
mmf,Mindat,Afro-Asiatic
mmg,North Ambrym,Austronesian
mmh,Mehináku,Maipurean
mmi,Musar,Trans-New Guinea
mmj,Majhwar,Unclassified
mmk,Mukha-Dora,Dravidian
mml,Man Met,Austro-Asiatic
mmm,Maii,Austronesian
mmn,Minamanwa,Austronesian
mmo,"Buang, Mangga",Austronesian
mmp,Siawi,Amto-Musan
mmq,Aisi,Trans-New Guinea
mmr,"Miao, Western Xiangxi",Hmong-Mien
mmt,Mala,Austronesian
mmu,Mmaala,Niger-Congo
mmv,Miriti,Tucanoan
mmw,Emae,Austronesian
mmx,Madak,Austronesian
mmy,Migaama,Afro-Asiatic
mmz,Mabaale,Niger-Congo
mna,Mbula,Austronesian
mnb,Muna,Austronesian
mnc,Manchu,Tungusic
mnd,Mondé,Tupian
mne,Naba,Nilo-Saharan
mnf,Mundani,Niger-Congo
mng,"Mnong, Eastern",Austro-Asiatic
mnh,Mono,Niger-Congo
mni,Meitei,Kuki-Chin-Naga
mnj,Munji,Indo-European
mnk,Mandinka,Niger-Congo
mnl,Tiale,Austronesian
mnm,Mapena,Trans-New Guinea
mnn,"Mnong, Southern",Austro-Asiatic
mnp,"Chinese, Min Bei",Sino-Tibetan
mnq,Minriq,Austro-Asiatic
mnr,Mono,Uto-Aztecan
mns,Mansi,Uralic
mnu,Mer,Mairasi
mnv,Rennell-Bellona,Austronesian
mnw,Mon,Austro-Asiatic
mnx,Sougb,East Bird’s Head-Sentani
mny,Manyawa,Niger-Congo
mnz,Moni,Trans-New Guinea
moa,Mwan,Niger-Congo
moc,Mocoví,Guaykuruan
mod,Mobilian,Pidgin
moe,Innu,Algic
mog,Mongondow,Austronesian
moh,Mohawk,Iroquoian
moi,Mboi,Niger-Congo
moj,Monzombo,Niger-Congo
mok,Morori,Trans-New Guinea
mom,Mangue,Unclassified
moo,Monom,Austro-Asiatic
mop,Mopán Maya,Mayan
moq,Mor,Trans-New Guinea
mor,Moro,Niger-Congo
mos,Moore,Niger-Congo
mot,Barí,Chibchan
mou,Mogum,Afro-Asiatic
mov,Mohave,Cochimí-Yuman
mow,Moi,Niger-Congo
mox,Molima,Austronesian
moy,Shekkacho,Afro-Asiatic
moz,Mukulu,Afro-Asiatic
mpa,Mpoto,Niger-Congo
mpb,Malak Malak,Australian
mpc,Mangarrayi,Australian
mpd,Machinere,Maipurean
mpe,Majang,Nilo-Saharan
mpg,Marba,Afro-Asiatic
mph,Maung,Australian
mpi,Mpade,Afro-Asiatic
mpj,Martu Wangka,Australian
mpk,Mbara,Afro-Asiatic
mpl,"Kodut, Middle",Austronesian
mpm,"Mixtec, Yosondúa",Otomanguean
mpn,Mindiri,Austronesian
mpo,Miu,Austronesian
mpp,Migabac,Trans-New Guinea
mpq,Matís,Panoan
mpr,Vangunu,Austronesian
mps,Dadibi,Trans-New Guinea
mpt,Mian,Trans-New Guinea
mpu,Makuráp,Tupian
mpv,Mungkip,Trans-New Guinea
mpw,Mapidian,Maipurean
mpx,Misima-Panaeati,Austronesian
mpy,Mapia,Austronesian
mpz,Mpi,Sino-Tibetan
mqa,Maba,Austronesian
mqb,Mbuko,Afro-Asiatic
mqc,Mangole,Austronesian
mqf,Momuna,Somahai
mqg,"Malay, Kota Bangun Kutai",Austronesian
mqh,"Mixtec, Tlazoyaltepec",Otomanguean
mqi,Mariri,Austronesian
mqj,Mamasa,Austronesian
mqk,"Manobo, Rajah Kabunsuwan",Austronesian
mql,Mbelime,Niger-Congo
mqm,South Marquesan,Austronesian
mqn,Moronene,Austronesian
mqo,Modole,West Papuan
mqp,Manipa,Austronesian
mqq,Minokok,Austronesian
mqr,Mander,Tor-Kwerba
mqs,"Makian, West",West Papuan
mqt,Mok,Austro-Asiatic
mqu,Mandari,Nilo-Saharan
mqx,Mamuju,Austronesian
mqy,Manggarai,Austronesian
mqz,Pano,Austronesian
mra,Mlabri,Austro-Asiatic
mrb,Marino,Austronesian
mrc,Maricopa,Cochimí-Yuman
mrd,Western Magar,Sino-Tibetan
mre,Martha’s Vineyard Sign Language,Sign language
mrf,Elseng,Language isolate
mrg,Mising,Sino-Tibetan
mrh,Mara Chin,Sino-Tibetan
mri,Maori,Austronesian
mrj,Hill Mari,Uralic
mrk,Hmwaveke,Austronesian
mrl,Mortlockese,Austronesian
mrm,Mwerlap,Austronesian
mrn,Cheke Holo,Austronesian
mro,Mru,Sino-Tibetan
mrp,Morouas,Austronesian
mrq,North Marquesan,Austronesian
mrr,Maria,Dravidian
mrs,Maragus,Austronesian
mrt,Marghi Central,Afro-Asiatic
mru,Mono,Niger-Congo
mrv,Mangareva,Austronesian
mrw,Maranao,Austronesian
mrx,Dineor,Tor-Kwerba
mry,Mandaya,Austronesian
mrz,Marind,Trans-New Guinea
msb,Masbatenyo,Austronesian
msc,Sankaran Maninka,Niger-Congo
msd,Yucatec Maya Sign Language,Sign language
mse,Musey,Afro-Asiatic
msf,Mekwei,Nimboran
msg,Moraid,West Papuan
msh,Masikoro Malagasy,Austronesian
msi,Sabah Malay,Austronesian
msj,Ma,Niger-Congo
msk,Mansaka,Austronesian
msl,Molof,Unclassified
msm,Agusan Manobo,Austronesian
msn,Vurës,Austronesian
mso,Mombum,Trans-New Guinea
msp,Maritsauá,Tupian
msq,Caac,Austronesian
msr,Mongolian Sign Language,Sign language
mss,"Masela, West",Austronesian
msu,Musom,Austronesian
msv,Maslam,Afro-Asiatic
msw,Mansoanka,Niger-Congo
msx,Moresada,Trans-New Guinea
msy,Aruamu,Ramu-Lower Sepik
msz,Momare,Trans-New Guinea
mta,Cotabato Manobo,Austronesian
mtb,Anyin Morofo,Niger-Congo
mtc,Munit,Trans-New Guinea
mtd,Mualang,Austronesian
mte,Mono,Austronesian
mtf,Murik,Ramu-Lower Sepik
mtg,Una,Trans-New Guinea
mth,Munggui,Austronesian
mti,Maiwa,Trans-New Guinea
mtj,Moskona,East Bird’s Head-Sentani
mtk,Mbo’,Niger-Congo
mtl,Tehl,Afro-Asiatic
mtm,Mator,Uralic
mtn,Matagalpa,Misumalpan
mto,Totontepec Mixe,Mixe-Zoquean
mtp,Weenhayek,Matacoan
mtq,Muong,Austro-Asiatic
mtr,Mewari,Indo-European
mts,Yora,Panoan
mtt,Mota,Austronesian
mtu,"Mixtec, Tututepec",Otomanguean
mtv,Asaro’o,Trans-New Guinea
mtw,"Binukidnon, Southern",Austronesian
mtx,"Mixtec, Tidaá",Otomanguean
mty,Nabi,Torricelli
mua,Mundang,Niger-Congo
mub,Mubi,Afro-Asiatic
muc,Ajumbu,Niger-Congo
mud,"Aleut, Mednyj",Mixed language
mue,Media Lengua,Mixed language
mug,Musgu,Afro-Asiatic
muh,Mündü,Niger-Congo
mui,Musi,Austronesian
muj,Mabire,Afro-Asiatic
muk,Mugom-Karmarong,Sino-Tibetan
mum,Maiwala,Austronesian
muo,Mubako,Niger-Congo
mup,Malvi,Indo-European
muq,"Miao, Eastern Xiangxi",Hmong-Mien
mur,Murle,Nilo-Saharan
mus,Muskogee,Muskogean
mut,"Muria, Western",Dravidian
muu,Yaaku,Afro-Asiatic
muv,Muthuvan,Dravidian
mux,Bo-Ung,Trans-New Guinea
muy,Muyang,Afro-Asiatic
muz,Mursi,Nilo-Saharan
mva,Manam,Austronesian
mvb,Mattole,Eyak-Athabaskan
mvd,Mamboru,Austronesian
mve,Marwari,Indo-European
mvf,"Mongolian, Peripheral",Mongolic
mvg,"Mixtec, Yucuañe",Otomanguean
mvh,Mulgi,Afro-Asiatic
mvi,Miyako,Japonic
mvk,Mekmek,Yuat
mvn,Minaveha,Austronesian
mvo,Marovo,Austronesian
mvp,Duri,Austronesian
mvq,Moere,Trans-New Guinea
mvr,Marau,Austronesian
mvs,Massep,Language isolate
mvt,Mpotovoro,Austronesian
mvu,Marfa,Nilo-Saharan
mvv,Tahol Murut,Austronesian
mvw,Machinga,Niger-Congo
mvx,Meoswar,Austronesian
mvy,"Kohistani, Indus",Indo-European
mvz,Mesqan,Afro-Asiatic
mwa,Mwatebu,Austronesian
mwb,Juwar,Torricelli
mwc,Are,Austronesian
mwe,Mwera,Niger-Congo
mwf,Murrinh-Patha,Australian
mwg,Aiklep,Austronesian
mwh,Mouk-Aria,Austronesian
mwi,Ninde,Austronesian
mwk,"Maninkakan, Kita",Niger-Congo
mwl,Mirandese,Indo-European
mwm,Sar,Nilo-Saharan
mwn,Nyamwanga,Niger-Congo
mwo,"Maewo, Central",Austronesian
mwp,Kala Lagaw Ya,Australian
mwq,Müün Chin,Sino-Tibetan
mws,Mwimbi-Muthambi,Niger-Congo
mwt,Moken,Austronesian
mwu,Mittu,Nilo-Saharan
mwv,Mentawai,Austronesian
mww,Hmong Daw,Hmong-Mien
mwz,Moingi,Niger-Congo
mxa,"Mixtec, Northwest Oaxaca",Otomanguean
mxb,Tezoatlán Mixtec,Otomanguean
mxc,Manyika,Niger-Congo
mxd,Modang,Austronesian
mxe,Mele-Fila,Austronesian
mxf,Malgbe,Afro-Asiatic
mxg,Mbangala,Niger-Congo
mxh,Mvuba,Nilo-Saharan
mxj,Miju-Mishmi,Sino-Tibetan
mxk,Monumbo,Torricelli
mxl,"Gbe, Maxi",Niger-Congo
mxm,Meramera,Austronesian
mxn,Moi,West Papuan
mxo,Mbowe,Niger-Congo
mxp,Tlahuitoltepec Mixe,Mixe-Zoquean
mxq,Juquila Mixe,Mixe-Zoquean
mxr,Murik,Austronesian
mxs,"Mixtec, Huitepec",Otomanguean
mxt,"Mixtec, Jamiltepec",Otomanguean
mxu,Mada,Afro-Asiatic
mxv,Metlatónoc Mixtec,Otomanguean
mxw,Namo,South-Central Papuan
mxx,Mahou,Niger-Congo
mxy,Southeastern Nochixtlán Mixtec,Otomanguean
mxz,"Masela, Central",Austronesian
mya,Burmese,Sino-Tibetan
myb,Mbay,Nilo-Saharan
myc,Mayeka,Niger-Congo
mye,Myene,Niger-Congo
myf,Màwés Aasʼè,Afro-Asiatic
myg,Manta,Niger-Congo
myh,Makah,Wakashan
myj,Mangayat,Niger-Congo
myk,Mamara Sénoufo,Niger-Congo
myl,Moma,Austronesian
mym,Me’en,Nilo-Saharan
myo,Anfillo,Afro-Asiatic
myp,Pirahã,Muran
myr,Muniche,Language isolate
mys,Mesmes,Afro-Asiatic
myu,Mundurukú,Tupian
myw,Muyuw,Austronesian
myx,Masaaba,Niger-Congo
myy,Macuna,Tucanoan
myz,"Mandaic, Classical",Afro-Asiatic
mza,Santa María Zacatepec Mixtec,Otomanguean
mzb,Tumzabt,Afro-Asiatic
mzc,Malagasy Sign Language,Sign language
mzd,Malimba,Niger-Congo
mze,Morawa,Trans-New Guinea
mzh,Pilcomayo Wichí,Matacoan
mzi,Ixcatlán Mazatec,Otomanguean
mzj,Manya,Niger-Congo
mzk,Nigeria Mambila,Niger-Congo
mzl,Mazatlán Mixe,Mixe-Zoquean
mzm,Mumuye,Niger-Congo
mzn,Mazandarani,Indo-European
mzo,Matipuhy,Cariban
mzp,Movima,Language isolate
mzq,Mori Atas,Austronesian
mzr,Marubo,Panoan
mzs,Macanese,Creole
mzt,Mintil,Austro-Asiatic
mzu,Inapang,Ramu-Lower Sepik
mzv,Mandja,Niger-Congo
mzw,Deg,Niger-Congo
mzx,Mawayana,Maipurean
mzy,Mozambican Sign Language,Sign language
mzz,Maiadomu,Austronesian
naa,Namla,Unclassified
nab,"Nambikuára, Southern",Nambikwara
nac,Narak,Trans-New Guinea
nae,Naka’ela,Austronesian
naf,Nabak,Trans-New Guinea
nag,Nagamese,Creole
naj,Nalu,Niger-Congo
nak,Nakanai,Austronesian
nal,Nalik,Austronesian
nam,Ngan’gityemerri,Australian
,Min Nan Chinese,Sino-Tibetan
nao,Naaba,Sino-Tibetan
nap,Napoletano-Calabrese,Indo-European
naq,Khoekhoe,Khoe-Kwadi
nar,Iguta,Niger-Congo
nas,Naasioi,South Bougainville
nat,Cahungwarya,Niger-Congo
nau,Nauruan,Austronesian
nav,Navajo,Eyak-Athabaskan
naw,Nawuri,Niger-Congo
nax,Nakwi,Arai (Left May)
naz,"Nahuatl, Coatepec",Uto-Aztecan
nba,Nyemba,Niger-Congo
nbb,Ndoe,Niger-Congo
nbc,Chang Naga,Sino-Tibetan
nbd,Ngbinda,Niger-Congo
nbe,Konyak Naga,Sino-Tibetan
nbg,Nagarchal,Dravidian
nbh,Ngamo,Afro-Asiatic
nbi,Mao Naga,Sino-Tibetan
nbj,Ngarinyman,Australian
nbl,Ndebele,Niger-Congo
nbm,Ngbaka Ma’bo,Niger-Congo
nbn,Kuri,Austronesian
nbo,Nkukoli,Niger-Congo
nbp,Nnam,Niger-Congo
nbq,Nggem,Trans-New Guinea
nbr,Numana,Niger-Congo
nbs,Namibian Sign Language,Sign language
nbt,Na,Sino-Tibetan
nbu,Rongmei Naga,Sino-Tibetan
nbv,Ngamambo,Niger-Congo
nbw,Southern Ngbandi,Niger-Congo
nby,Ningera,Border
nca,Iyo,Trans-New Guinea
ncb,Central Nicobarese,Austro-Asiatic
ncc,Ponam,Austronesian
ncd,Nachiring,Sino-Tibetan
nce,Yale,Language isolate
ncf,Notsi,Austronesian
ncg,Nisga’a,Tsimshian
nch,Central Huasteca Nahuatl,Uto-Aztecan
ncj,Northern Puebla Nahuatl,Uto-Aztecan
nck,Na-kara,Australian
ncl,Michoacán Nahuatl,Uto-Aztecan
ncm,Nambo,South-Central Papuan
ncn,Neherneh,Austronesian
nco,Sibe,South Bougainville
ncq,"Katang, Northern",Austro-Asiatic
ncr,Nchane,Niger-Congo
ncs,Nicaraguan Sign Language,Sign language
nct,"Naga, Chothe",Sino-Tibetan
ncu,Chumburung,Niger-Congo
ncx,"Nahuatl, Central Puebla",Uto-Aztecan
ncz,Natchez,Language isolate
nda,Ndasa,Niger-Congo
ndb,Kenswei Nsei,Niger-Congo
ndc,Ndau,Niger-Congo
ndd,Nde-Nsele-Nta,Niger-Congo
nde,Ndebele,Niger-Congo
ndg,Ndengereko,Niger-Congo
ndh,Ndali,Niger-Congo
ndi,Samba Leko,Niger-Congo
ndj,Ndamba,Niger-Congo
ndk,Ndaka,Niger-Congo
ndl,Ndolo,Niger-Congo
ndm,Ndam,Afro-Asiatic
ndn,Ngundi,Niger-Congo
ndo,Ndonga,Niger-Congo
ndp,Kebu,Nilo-Saharan
ndq,Ndombe,Niger-Congo
ndr,Ndoola,Niger-Congo
nds,Low Saxon,Indo-European
ndt,Ndunga,Niger-Congo
ndu,Dugun,Niger-Congo
ndv,Ndut,Niger-Congo
ndw,Ndobo,Niger-Congo
ndx,Nduga,Trans-New Guinea
ndy,Luto,Nilo-Saharan
ndz,Ndogo,Niger-Congo
nea,"Ngad’a, Eastern",Austronesian
neb,Toura,Niger-Congo
nec,Nedebang,Trans-New Guinea
ned,Nde-Gbite,Niger-Congo
nee,Nêlêmwa-Nixumwak,Austronesian
nef,Nefamese,Pidgin
neg,Negidal,Tungusic
neh,Nyenkha,Sino-Tibetan
nej,Neko,Trans-New Guinea
nek,Neku,Austronesian
nem,Nemi,Austronesian
nen,Nengone,Austronesian
neo,Ná-Meo,Hmong-Mien
neq,North Central Mixe,Mixe-Zoquean
ner,Yahadian,Trans-New Guinea
nes,"Kinnauri, Bhoti",Sino-Tibetan
net,Nete,Trans-New Guinea
nev,Nyaheun,Austro-Asiatic
new,Newar,Sino-Tibetan
nex,Neme,South-Central Papuan
ney,Neyo,Niger-Congo
nez,Nez Perce,Sahaptian
nfa,Dhao,Austronesian
nfd,Ahwai,Niger-Congo
nfl,Äiwoo,Austronesian
nfr,Nafaanra,Niger-Congo
nfu,Mfumte,Niger-Congo
nga,Ngbaka,Niger-Congo
ngb,Northern Ngbandi,Niger-Congo
ngc,Ngombe,Niger-Congo
ngd,Ngando,Niger-Congo
nge,Ngemba,Niger-Congo
ngg,Ngbaka Manza,Niger-Congo
ngi,Ngizim,Afro-Asiatic
ngj,Ngie,Niger-Congo
ngk,Dalabon,Australian
ngl,Lomwe,Niger-Congo
ngm,Ngatik Men’s Creole,Creole
ngn,Ngwo,Niger-Congo
ngp,Ngulu,Niger-Congo
ngq,Ngoreme,Niger-Congo
ngr,Engdewu,Austronesian
ngs,Gvoko,Afro-Asiatic
ngt,Kriang,Austro-Asiatic
ngu,Guerrero Nahuatl,Uto-Aztecan
ngv,Nagumi,Niger-Congo
ngw,Ngwaba,Afro-Asiatic
ngy,Tibea,Niger-Congo
ngz,Ngungwel,Niger-Congo
nha,Nhanda,Australian
nhb,Beng,Niger-Congo
nhc,"Nahuatl, Tabasco",Uto-Aztecan
nhd,Ava Guaraní,Tupian
nhe,"Nahuatl, Eastern Huasteca",Uto-Aztecan
nhf,Nhuwala,Australian
nhg,Tetelcingo Nahuatl,Uto-Aztecan
nhh,Nahari,Indo-European
nhi,Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,Uto-Aztecan
nhk,"Nahuatl, Isthmus-Cosoleacaque",Uto-Aztecan
nhm,Morelos Nahuatl,Uto-Aztecan
nhn,"Nahuatl, Central",Uto-Aztecan
nho,Takuu,Austronesian
nhp,"Nahuatl, Isthmus-Pajapan",Uto-Aztecan
nhq,"Nahuatl, Huaxcaleca",Uto-Aztecan
nhr,Naro,Khoe-Kwadi
nht,"Nahuatl, Ometepec",Uto-Aztecan
nhu,Noone,Niger-Congo
nhv,"Nahuatl, Temascaltepec",Uto-Aztecan
nhw,"Nahuatl, Western Huasteca",Uto-Aztecan
nhx,Isthmus-Mecayapan Nahuatl,Uto-Aztecan
nhy,Northern Oaxaca Nahuatl,Uto-Aztecan
nhz,"Nahuatl, Santa María la Alta",Uto-Aztecan
nia,Nias,Austronesian
nib,Nakame,Trans-New Guinea
nid,Ngandi,Australian
nie,Niellim,Niger-Congo
nif,Nek,Trans-New Guinea
nig,Ngalakgan,Australian
nih,Tanzania Nyiha,Niger-Congo
nii,Nii,Trans-New Guinea
nij,Ngaju,Austronesian
nik,"Nicobarese, Southern",Austro-Asiatic
nil,Nila,Austronesian
nim,Nilamba,Niger-Congo
nin,Ninzo,Niger-Congo
nio,Nganasan,Uralic
niq,Nandi,Nilo-Saharan
nir,Nimboran,Nimboran
nis,Sama,Trans-New Guinea
nit,"Kolami, Southeastern",Dravidian
niu,Niue,Austronesian
niv,Gilyak,Language isolate
niw,Nimo,Arai (Left May)
nix,Hema,Niger-Congo
niy,Ngiti,Nilo-Saharan
niz,Ningil,Torricelli
nja,Nzanyi,Afro-Asiatic
njb,"Naga, Nocte",Sino-Tibetan
njd,Ndonde Hamba,Niger-Congo
njh,Lotha Naga,Sino-Tibetan
nji,Gudanji,Australian
njj,Njen,Niger-Congo
njl,Njalgulgule,Nilo-Saharan
njm,Angami Naga,Sino-Tibetan
njn,Liangmai Naga,Sino-Tibetan
njo,Ao Naga,Sino-Tibetan
njr,Njerep,Niger-Congo
njs,Nisa,East Geelvink Bay
njt,Ndyuka-Trio Pidgin,Pidgin
nju,Ngadjunmaya,Australian
njx,Kunyi,Niger-Congo
njy,Njyem,Niger-Congo
njz,Nyishi,Sino-Tibetan
nka,Nkoya,Niger-Congo
nkb,"Naga, Khoibu",Sino-Tibetan
nkc,Nkongho,Niger-Congo
nkd,Koireng,Sino-Tibetan
nke,Dughore,Austronesian
nkf,Inpui Naga,Sino-Tibetan
nkg,Nekgini,Trans-New Guinea
nkh,Khezha Naga,Sino-Tibetan
nki,Thangal Naga,Sino-Tibetan
nkj,Nakai,Trans-New Guinea
nkk,Nokuku,Austronesian
nkm,Namat,South-Central Papuan
nkn,Nkangala,Niger-Congo
nko,Nkonya,Niger-Congo
nkp,Niuatoputapu,Austronesian
nkq,Nkami,Niger-Congo
nkr,Nukuoro,Austronesian
nks,"Asmat, North",Trans-New Guinea
nkt,"Nyika, Tanzania",Niger-Congo
nku,Bouna Kulango,Niger-Congo
nkv,Nyika,Niger-Congo
nkw,Nkutu,Niger-Congo
nkx,Nkoroo,Niger-Congo
nkz,Nkari,Niger-Congo
nla,Ngombale,Niger-Congo
nlc,Nalca,Trans-New Guinea
nld,Dutch,Indo-European
nle,Nyala,Niger-Congo
nlg,Gela,Austronesian
nli,Grangali,Indo-European
nlj,Nyali,Niger-Congo
nlk,"Yali, Ninia",Trans-New Guinea
nll,Nihali,Language isolate
nlm,Mankiyali,Indo-European
nlo,Ngul,Niger-Congo
nlq,"Naga, Lao",Sino-Tibetan
nlu,Nchumbulu,Niger-Congo
nlv,Orizaba Nahuatl,Uto-Aztecan
nlw,Walangama,Australian
nlx,Nahali,Indo-European
nly,Nyamal,Australian
nlz,Nalögo,Austronesian
nma,Maram Naga,Sino-Tibetan
nmb,V’ënen Taut,Austronesian
nmc,Ngam,Nilo-Saharan
nmd,Ndumu,Niger-Congo
nme,"Naga, Mzieme",Sino-Tibetan
nmf,Tangkhul Naga,Sino-Tibetan
nmg,Kwasio,Niger-Congo
nmh,Monsang Naga,Sino-Tibetan
nmi,Nyam,Afro-Asiatic
nmj,Ngombe,Niger-Congo
nmk,Namakura,Austronesian
nml,Ndemli,Niger-Congo
nmm,Nyeshangte,Sino-Tibetan
nmo,Moyon Naga,Sino-Tibetan
nmp,Nimanbur,Australian
nmq,Nambya,Niger-Congo
nmr,Nimbari,Niger-Congo
nms,Letemboi,Austronesian
nmt,Namonuito,Austronesian
nmu,"Maidu, Northeast",Maiduan
nmw,Rifao,Austronesian
nmx,Nama,South-Central Papuan
nmy,Namuyi,Sino-Tibetan
nmz,Nawdm,Niger-Congo
nna,Nyangumarta,Australian
nnb,Nande,Niger-Congo
nnc,Nancere,Afro-Asiatic
nnd,West Ambae,Austronesian
nne,Ngandjera,Niger-Congo
nnf,Ngaing,Trans-New Guinea
nng,Maring Naga,Sino-Tibetan
nnh,Ngiemboon,Niger-Congo
nni,"Nuaulu, North",Austronesian
nnj,Nyangatom,Nilo-Saharan
nnk,Nankina,Trans-New Guinea
nnl,Northern Rengma Naga,Sino-Tibetan
nnm,Namia,Sepik
nnn,Ngete,Afro-Asiatic
nnp,Wancho Naga,Sino-Tibetan
nnq,Ngindo,Niger-Congo
nnr,Narungga,Australian
nnt,Nanticoke,Algic
nnu,Dwang,Niger-Congo
nnv,Nugunu,Australian
nnw,Southern Nuni,Niger-Congo
nny,Nyangga,Australian
nnz,Nda’nda’,Niger-Congo
noa,Woun Meu,Chocoan
noc,Nuk,Trans-New Guinea
nod,Northern Thai,Kra-Dai
noe,Nimadi,Indo-European
nof,Nomane,Trans-New Guinea
nog,Nogai,Turkic
noh,Nomu,Trans-New Guinea
noi,Noiri,Indo-European
noj,Nonuya,Witotoan
nok,Nooksack,Salish
