eng,it_m,it_f,it_n,output
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"[TextBlock(text='In Italian, ""I am Uzbekistani"" is translated as:\n\nSono uzbeko. (masculine)\nSono uzbeka. (feminine)\n\nThe adjective ""uzbeko"" (masculine) or ""uzbeka"" (feminine) agrees with the gender of the speaker.', type='text')]"
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"[TextBlock(text='The Italian translation of ""I am Saint Vincentian"" is:\n\nSono di Saint Vincent.\n\nNote that ""Saint Vincentian"" refers to someone from the country of Saint Vincent and the Grenadines. In Italian, it is more natural to say ""I am from Saint Vincent"" rather than using the adjective form ""Saint Vincentian.""', type='text')]"
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Venezuelan"" is:\n\nSono venezuelano. (masculine)\nSono venezuelana. (feminine)\n\nIn Italian, adjectives of nationality change their ending based on the gender of the person they refer to. If you are a man, you would say ""Sono venezuelano,"" and if you are a woman, you would say ""Sono venezuelana.""', type='text')]"
I am Vietnamese.,,,Sono vietnamita.,"[TextBlock(text='In Italian, ""I am Vietnamese"" is:\n\nSono vietnamita.', type='text')]"
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"[TextBlock(text='In Italian, ""I am Ni-Vanuatu"" can be translated as:\n\nSono Ni-Vanuatu.\n\nNote that ""Ni-Vanuatu"" is a demonym referring to the people of Vanuatu, and it remains the same in Italian as it is a specific term.', type='text')]"
I am Samoan.,Sono samoano.,Sono samoana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Samoan"" is:\n\nSono samoano. (masculine)\nSono samoana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Sono samoano,"" and if you are a woman, you would say ""Sono samoana.""', type='text')]"
I am Yemeni.,,,Sono yemenita.,"[TextBlock(text='In Italian, ""I am Yemeni"" is translated as:\n\nSono yemenita.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""Yemenita"" is the Italian adjective for ""Yemeni""\n\nNote that in Italian, the adjective ""yemenita"" is gender-neutral and can be used for both masculine and feminine subjects.', type='text')]"
I am South African.,Sono sudafricano.,Sono sudafricana.,,"[TextBlock(text='Sure! The Italian translation of ""I am South African"" is:\n\nSono sudafricano. (masculine)\nSono sudafricana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""sudafricano,"" and if you are a woman, you would say ""sudafricana.""', type='text')]"
I am Zambian.,Sono zambiano.,Sono zambiana.,,"[TextBlock(text='In Italian, ""I am Zambian"" is translated as:\n\nSono zambiano. (masculine)\nor\nSono zambiana. (feminine)\n\nThe adjective ""zambiano/zambiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,"[TextBlock(text='In Italian, ""I am Zimbabwean"" is translated as:\n\nSono zimbabwese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""zimbabwese"" is the Italian adjective for ""Zimbabwean""\n\nNote that in Italian, nationalities are not capitalized unless they are at the beginning of a sentence.', type='text')]"
