eng,deu_m,deu_f,deu_n,output
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"[TextBlock(text='Sure! The German translation of ""I am Slovak"" is:\n\nIch bin Slowake. (masculine)\nIch bin Slowakin. (feminine)\n\nIn German, the word for ""Slovak"" changes depending on the gender of the person. ""Slowake"" is used for a male Slovak person, while ""Slowakin"" is used for a female Slovak person.', type='text')]"
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"[TextBlock(text='The German translation of ""I am Slovene"" is:\n\nIch bin Slowene. (masculine)\nIch bin Slowenin. (feminine)\n\nIn German, the word for ""Slovene"" changes depending on the gender of the person. ""Slowene"" is used for a male, while ""Slowenin"" is used for a female.', type='text')]"
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"[TextBlock(text='Sure! The German translation of ""I am Swedish"" is:\n\nIch bin Schwedisch.\n\nor\n\nIch bin Schwede. (if you are a male)\nIch bin Schwedin. (if you are a female)', type='text')]"
I am Swazi.,,,Ich bin Swasi.,"[TextBlock(text='The German translation of ""I am Swazi"" is:\n\nIch bin Swasi.\n\nNote that ""Swazi"" refers to a person from Eswatini (formerly known as Swaziland), and it remains the same in both English and German.', type='text')]"
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"[TextBlock(text='The German translation of ""I am Seychellois"" is:\n\nIch bin Seychellois.\n\nHowever, it\'s important to note that ""Seychellois"" is a French term referring to a person from Seychelles. In German, it\'s more common to say:\n\nIch komme aus den Seychellen.\n\nThis translates to ""I come from Seychelles"" or ""I am from Seychelles', type='text')]"
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"[TextBlock(text='In German, ""I am Syrian"" can be translated as:\n\nIch bin Syrer. (masculine)\nIch bin Syrerin. (feminine)\n\nThe ending of the noun ""Syrer"" or ""Syrerin"" changes depending on the gender of the person speaking.', type='text')]"
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,"[TextBlock(text='In German, ""I am Chadian"" can be translated as:\n\nIch bin Tschader.\n\nHere\'s the breakdown:\n- ""Ich"" means ""I""\n- ""bin"" means ""am""\n- ""Tschader"" means ""Chadian"" (masculine singular form)\n\nNote that ""Tschader"" refers to a male Chadian. If you are referring to a female Chadian, you would say:', type='text')]"
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"[TextBlock(text='In German, ""I am Togolese"" can be translated as:\n\nIch bin Togoer. (masculine)\nIch bin Togoerin. (feminine)\n\nNote that the German translation varies based on the gender of the speaker. ""Togoer"" is used for a male speaker, while ""Togoerin"" is used for a female speaker.', type='text')]"
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,"[TextBlock(text='Sure! The German translation of ""I am Thai"" is:\n\nIch bin Thailänder. (male)\nIch bin Thailänderin. (female)\n\nIn German, the word for a person from Thailand changes based on the gender of the person. ""Thailänder"" is used for a male, and ""Thailänderin"" is used for a female.', type='text')]"
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,"[TextBlock(text='The German translation of ""I am Tadzhik"" is:\n\nIch bin Tadschike.\n\nNote: ""Tadschike"" is the German word for ""Tadzhik"" or ""Tajik,"" referring to a person from Tajikistan or of Tajik ethnicity.', type='text')]"
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"[TextBlock(text='The German translation of ""I am Turkmen"" is:\n\nIch bin Turkmene. (male)\nIch bin Turkmenin. (female)\n\nIn German, the word for a person from Turkmenistan changes based on the gender of the person. ""Turkmene"" is used for a male, while ""Turkmenin"" is used for a female.', type='text')]"
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"[TextBlock(text='The German translation of ""I am East Timorese"" is:\n\nIch bin Osttimorese. (masculine)\nIch bin Osttimoresen. (feminine)\n\nNote that the adjective ""Osttimorese"" changes its ending based on the gender of the person it refers to.', type='text')]"
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,"[TextBlock(text='The German translation of ""I am Tongan"" is:\n\nIch bin Tongaer. (male)\nIch bin Tongaerin. (female)\n\nIn German, nationalities and languages are typically capitalized. The suffix ""-er"" is added for a male, and ""-erin"" for a female. If you don\'t want to specify gender, you can simply say:\n\nIch komme aus Tonga. (I come from T', type='text')]"
I am Trinidadian.,,,,"[TextBlock(text='The German translation of ""I am Trinidadian"" is:\n\nIch bin Trinidader.\n\nNote: In German, the demonym for a person from Trinidad and Tobago is ""Trinidader"" (masculine) or ""Trinidaderin"" (feminine). If you specifically want to say that you are from the island of Trinidad, you can use ""Ich bin aus Trinidad"" which translates to ""I am from Trinidad.""', type='text')]"
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"[TextBlock(text='Sure! The German translation of ""I am Tunisian"" is:\n\nIch bin Tunesier. (masculine)\nIch bin Tunesierin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Tunesier"" is used for a male Tunisian, while ""Tunesierin"" is used for a female Tunisian.', type='text')]"
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"[TextBlock(text='The German translation of ""I am Turkish"" is:\n\nIch bin Türke. (masculine)\nIch bin Türkin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Türke"" is used for a male Turkish person, while ""Türkin"" is used for a female Turkish person.', type='text')]"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"[TextBlock(text='The German translation of ""I am Tuvaluan"" is:\n\nIch bin Tuvaluer.\n\nNote: Tuvalu is a small island country in the Pacific Ocean. The German demonym for a person from Tuvalu is ""Tuvaluer"" (masculine) or ""Tuvaluerin"" (feminine).', type='text')]"
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"[TextBlock(text='Sure! The German translation of ""I am Tanzanian"" is:\n\nIch bin Tansanier. (male)\nIch bin Tansanierin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Tansanier"" is used for a male Tanzanian, while ""Tansanierin"" is used for a female Tanzanian.', type='text')]"
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,"[TextBlock(text='In German, ""I am Ugandan"" can be translated as:\n\nIch bin Ugander. (male)\nIch bin Uganderin. (female)\n\nIn German, nationalities and languages are typically capitalized. Additionally, the endings change depending on the gender of the person. For a male, the ending is ""-er,"" while for a female, it is ""-erin.""', type='text')]"
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"[TextBlock(text='In German, ""I am Ukrainian"" is translated as:\n\nIch bin Ukrainer. (masculine)\nIch bin Ukrainerin. (feminine)\n\nThe ending of the noun changes depending on the gender of the person. ""-er"" is used for a masculine subject, while ""-in"" is added to the masculine form to create the feminine equivalent.', type='text')]"
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"[TextBlock(text='Sure! The German translation of ""I am Uruguayan"" is:\n\nIch bin Uruguayer. (masculine)\nIch bin Uruguayerin. (feminine)\n\nIn German, the noun referring to a person\'s nationality changes depending on their gender. ""Uruguayer"" is used for a male Uruguayan, while ""Uruguayerin"" is used for a female Uruguayan.', type='text')]"
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"[TextBlock(text='Sure! The German translation of ""I am American"" is:\n\nIch bin Amerikaner. (masculine)\nIch bin Amerikanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you identify as male, you would say ""Ich bin Amerikaner,"" and if you identify as female, you would say ""Ich bin Amerikanerin.""', type='text')]"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"[TextBlock(text='Sure! The German translation of ""I am Uzbekistani"" is:\n\nIch bin Usbeke. (masculine)\nIch bin Usbekin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Usbeke"" is used for a male Uzbekistani, while ""Usbekin"" is used for a female Uzbekistani.', type='text')]"
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"[TextBlock(text='The German translation of ""I am Saint Vincentian"" is:\n\nIch bin Vinzentianer.\n\nNote: In German, nationalities and origins are typically written with a capital letter.', type='text')]"
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Venezuelan"" is:\n\nIch bin Venezolaner. (masculine)\nIch bin Venezolanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Venezolaner"" is used for a male Venezuelan, while ""Venezolanerin"" is used for a female Venezuelan.', type='text')]"
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"[TextBlock(text='Sure! The German translation of ""I am Vietnamese"" is:\n\nIch bin Vietnamesin. (if you are female)\nIch bin Vietnamese. (if you are male)\n\nIn German, the word ""Vietnamese"" changes slightly depending on the gender of the person. For a female, it is ""Vietnamesin,"" and for a male, it remains ""Vietnamese.""', type='text')]"
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,"[TextBlock(text='The German translation of ""I am Ni-Vanuatu"" is:\n\nIch bin Ni-Vanuatu.\n\nNote: ""Ni-Vanuatu"" is a demonym used to refer to the indigenous people of Vanuatu, an island country located in the South Pacific Ocean. As it is a specific term, it remains unchanged in the German translation.', type='text')]"
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"[TextBlock(text='In German, ""I am Samoan"" can be translated as:\n\nIch bin Samoaner. (male)\nIch bin Samoanerin. (female)\n\nNote that German nouns, including those referring to nationalities, have different endings depending on the gender of the person being referred to.', type='text')]"
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"[TextBlock(text='In German, ""I am Yemeni"" is translated as:\n\nIch bin Jemenit. (masculine)\nIch bin Jemenitin. (feminine)\n\nNote that the German translation varies based on the gender of the speaker. ""Jemenit"" is used for a male speaker, while ""Jemenitin"" is used for a female speaker.', type='text')]"
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"[TextBlock(text='Sure! The German translation of ""I am South African"" is:\n\nIch bin Südafrikaner. (male)\nIch bin Südafrikanerin. (female)\n\nIn German, the word for a person from South Africa changes depending on the gender. ""Südafrikaner"" is used for a male South African, while ""Südafrikanerin"" is used for a female South African.', type='text')]"
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,"[TextBlock(text='Sure! The German translation of ""I am Zambian"" is:\n\nIch bin Sambier. (male)\nIch bin Sambierin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Sambier"" is used for a male Zambian, while ""Sambierin"" is used for a female Zambian.', type='text')]"
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"[TextBlock(text='Sure! The German translation of ""I am Zimbabwean"" is:\n\nIch bin Simbabwer. (male)\nIch bin Simbabwerin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""-er"" is used for males, and ""-in"" is added to the male form to create the female version.', type='text')]"
