eng,spa_m,spa_f,spa_n,output
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"[TextBlock(text='In Spanish, ""I am Ukrainian"" is:\n\nSoy ucraniano. (masculine)\nSoy ucraniana. (feminine)\n\nThe ending of the adjective changes depending on whether the speaker is male (-o) or female (-a).', type='text')]"
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"[TextBlock(text='In Spanish, ""I am Uruguayan"" is translated as:\n\nSoy uruguayo. (masculine)\nSoy uruguaya. (feminine)\n\nThe adjective ""uruguayo/uruguaya"" changes depending on the gender of the speaker.', type='text')]"
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"[TextBlock(text='In Spanish, ""I am American"" is translated as:\n\nSoy estadounidense.\n\nor\n\nSoy americano/americana. (masculine/feminine)\n\nNote that ""estadounidense"" specifically refers to someone from the United States, while ""americano/americana"" can be used more broadly to refer to someone from the Americas, although it is often used to refer to people from the United States as well.', type='text')]"
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"[TextBlock(text='In Spanish, ""I am Uzbekistani"" is translated as:\n\nSoy uzbeko. (masculine)\nSoy uzbeka. (feminine)\n\nThe adjective ""uzbeko/uzbeka"" agrees with the gender of the speaker. If you are a man, you would say ""Soy uzbeko,"" and if you are a woman, you would say ""Soy uzbeka.""', type='text')]"
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"[TextBlock(text='The Spanish translation of ""I am Saint Vincentian"" is:\n\nSoy sanvicentino. (masculine)\nSoy sanvicentina. (feminine)\n\nIn Spanish, the adjective changes depending on the gender of the person. If you are a man, you would say ""sanvicentino,"" and if you are a woman, you would say ""sanvicentina.""', type='text')]"
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"[TextBlock(text='In Spanish, ""I am Venezuelan"" is:\n\nSoy venezolano. (masculine)\nSoy venezolana. (feminine)\n\nThe adjective ""venezolano/venezolana"" changes depending on the gender of the speaker.', type='text')]"
I am Vietnamese.,,,Soy vietnamita.,"[TextBlock(text='In Spanish, ""I am Vietnamese"" is:\n\nSoy vietnamita.\n\nHere\'s the breakdown:\n- ""Soy"" means ""I am""\n- ""vietnamita"" is the Spanish word for ""Vietnamese"" (both masculine and feminine forms are the same)', type='text')]"
I am Ni-Vanuatu.,,,Soy vanuatuense.,"[TextBlock(text='The Spanish translation of ""I am Ni-Vanuatu"" is:\n\nSoy ni-vanuatu.\n\nNote that ""ni-vanuatu"" is not translated, as it is a demonym referring to the people of Vanuatu, a South Pacific island nation. Demonyms are usually not translated into other languages.', type='text')]"
I am Samoan.,Soy samoano.,Soy samoana.,,"[TextBlock(text='In Spanish, ""I am Samoan"" can be translated as:\n\nSoy samoano. (masculine)\nSoy samoana. (feminine)\n\nThe adjective changes depending on whether the speaker is male (samoano) or female (samoana).', type='text')]"
I am Yemeni.,,,Soy yemení.,"[TextBlock(text='In Spanish, ""I am Yemeni"" is translated as:\n\nSoy yemení. (masculine)\nSoy yemení. (feminine)\n\nIn Spanish, the word ""yemení"" is both masculine and feminine, so the translation remains the same regardless of the gender of the speaker.', type='text')]"
I am South African.,Soy sudafricano.,Soy sudafricana.,,"[TextBlock(text='Sure! The Spanish translation of ""I am South African"" is:\n\nSoy sudafricano. (masculine)\nSoy sudafricana. (feminine)\n\nIn Spanish, adjectives typically agree with the gender of the person or noun they describe. So, if you are a man, you would say ""sudafricano,"" and if you are a woman, you would say ""sudafricana.""', type='text')]"
I am Zambian.,Soy zambiano.,Soy zambiana.,,"[TextBlock(text='In Spanish, ""I am Zambian"" is:\n\nSoy zambiano. (masculine)\nSoy zambiana. (feminine)\n\nThe adjective ""zambiano/zambiana"" agrees with the gender of the speaker.', type='text')]"
I am Zimbabwean.,,,Soy zimbabuense.,"[TextBlock(text='In Spanish, ""I am Zimbabwean"" is translated as:\n\nSoy zimbabuense.\n\nor\n\nSoy de Zimbabue.\n\nBoth translations are correct and commonly used.', type='text')]"
